IdFilm,Titre,Genres
1,Toy Story (1995),Aventure|Animation|Enfants|ComÈdie|Fantaisie
2,Jumanji (1995),Aventure|Enfants|Fantaisie
3,Grumpier Old Men (1995),ComÈdie|Romance
4,Waiting to Exhale (1995),ComÈdie|Drame|Romance
5,Father of the Bride Part II (1995),ComÈdie
6,Heat (1995),Action|Crime|Thriller
7,Sabrina (1995),ComÈdie|Romance
8,Tom and Huck (1995),Aventure|Enfants
9,Sudden Death (1995),Action
10,GoldenEye (1995),Action|Aventure|Thriller
11,"American President, The (1995)",ComÈdie|Drame|Romance
12,Dracula: Dead and Loving It (1995),ComÈdie|Horreur
13,Balto (1995),Aventure|Animation|Enfants
14,Nixon (1995),Drame
15,Cutthroat Island (1995),Action|Aventure|Romance
16,Casino (1995),Crime|Drame
17,Sense and Sensibility (1995),Drame|Romance
18,Four Rooms (1995),ComÈdie
19,Ace Ventura: When Nature Calls (1995),ComÈdie
20,Money Train (1995),Action|ComÈdie|Crime|Drame|Thriller
21,Get Shorty (1995),ComÈdie|Crime|Thriller
22,Copycat (1995),Crime|Drame|Horreur|MystËre|Thriller
23,Assassins (1995),Action|Crime|Thriller
24,Powder (1995),Drame|Sci-Fi
25,Leaving Las Vegas (1995),Drame|Romance
26,Othello (1995),Drame
27,Now and Then (1995),Enfants|Drame
28,Persuasion (1995),Drame|Romance
29,"City of Lost Enfants, The (Cit√© des enfants perdus, La) (1995)",Aventure|Drame|Fantaisie|MystËre|Sci-Fi
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drame
31,Dangerous Minds (1995),Drame
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),MystËre|Sci-Fi|Thriller
34,Babe (1995),Enfants|Drame
36,Dead Man Walking (1995),Crime|Drame
38,It Takes Two (1995),Enfants|ComÈdie
39,Clueless (1995),ComÈdie|Romance
40,"Cry, the Beloved Country (1995)",Drame
41,Richard III (1995),Drame|Guerre
42,Dead Presidents (1995),Action|Crime|Drame
43,Restoration (1995),Drame
44,Mortal Kombat (1995),Action|Aventure|Fantaisie
45,To Die For (1995),ComÈdie|Drame|Thriller
46,How to Make an American Quilt (1995),Drame|Romance
47,Seven (a.k.a. Se7en) (1995),MystËre|Thriller
48,Pocahontas (1995),Animation|Enfants|Drame|Musicale|Romance
49,When Night Is Falling (1995),Drame|Romance
50,"Usual Suspects, The (1995)",Crime|MystËre|Thriller
52,Mighty Aphrodite (1995),ComÈdie|Drame|Romance
53,Lamerica (1994),Aventure|Drame
54,"Big Green, The (1995)",Enfants|ComÈdie
55,Georgia (1995),Drame
57,Home for the Holidays (1995),Drame
58,"Postman, The (Postino, Il) (1994)",ComÈdie|Drame|Romance
60,"Indian in the Cupboard, The (1995)",Aventure|Enfants|Fantaisie
61,Eye for an Eye (1996),Drame|Thriller
62,Mr. Holland's Opus (1995),Drame
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),ComÈdie|Crime
64,Two if by Sea (1996),ComÈdie|Romance
65,Bio-Dome (1996),ComÈdie
